"OBSID1" "OBSID2" "STUDYID" "CRN_SUBCMP" "IGSNID" "DBDOI" "DBVERNO" "SMPID" "SITEID" "METASITEID" "CNTRY" "REGION_INT" "REGION_REG" "DIV_ADMIN" "DIV_OTHER" "ISL_NAME" "LAKE" "BASIN" "AHGFL1" "AHGFL2" "RIVNAME" "RIVDIV" "IBRACODE" "IBRAREGION" "X_WGS84" "Y_WGS84" "CORDS_ELEV" "ELEVATION" "SITE_COMMT" "REFDBID" "OAID" "AUTHOR" "PUBYEAR" "REFID" "REFDOI" "MATERIAL" "SIZEMIN" "SIZEMAX" "PROJEPSGID" "PROJECTION" "AREA" "ELEV_AVE" "ELEV_STD" "SLP_AVE" "SLP_STD" "SMP_DAY" "SMP_MONTH" "SMP_YEAR" "SMP_COMMT" "BE10NP" "BE10NP_ERR" "BE10EP" "BE10EP_ERR" "BESTND" "BECORR" "BEAMS" "BE10NC" "BE10NC_ERR" "BEPROD" "BETOPO" "BESELF" "BESNOW" "BETOTS" "EBE_GCMYR" "ERRBE_AMS" "ERRBE_MUON" "ERRBE_PROD" "ERRBE_TOT" "EBE_MMKYR" "EBE_ERR" "AL26NP" "AL26NP_ERR" "AL26EP" "AL26EP_ERR" "ALSTND" "ALCORR" "ALAMS" "AL26NC" "AL26NC_ERR" "ALPROD" "ALTOPO" "ALSELF" "ALSNOW" "ALTOTS" "EAL_GCMYR" "ERRAL_AMS" "ERRAL_MUON" "ERRAL_PROD" "ERRAL_TOT" "EAL_MMKYR" "EAL_ERR" "layer" "path" "P" "Nneutrons" "Nmuons" "E1" "E2" "E3"
"S119WTS016" "KNP-14" "S119" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02232" "CRNST02004a" NA "ZAF" "Kruger Nat. Park" NA NA NA NA NA "Nhlanganini Riv." NA NA "not applicable" "not applicable" NA "not applicable" 31.492138 -23.933731 "INTP_ND" -9999.99 NA "Glotzbach:2016kruger" "OAID-000065" "Glotzbach" 2016 "Terra_Nova_28" "10.1111/ter.12223" "Sa" 250 500 32736 "WGS84_UTM_36S" 23.74 363.73 16.95 24.92 9.99 -9999 -9999 -9999 NA 330000 14000 7.3 0.8 "07KNSTD" 1 "Cologne" 330000 14000 0.946 1 1 1 0.946 0.00216 1e-04 0.00023 0.00047 0.00053 8.15 2 -9999 -9999 -9999.99 -9999.99 NA 0 "Cologne" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 970.302383068164 0.976232360637191 0.882475164765728 7.16238630743078 9.04419269651612 7.85428791930502
"S022WTS001" "CCC" "S022" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00302" "CRNST00230a" NA "PAN" "ND" NA NA NA NA NA "Chagres" NA NA "not applicable" "not applicable" NA "not applicable" -79.324874 9.35951 "INTP_ND" -9999.99 NA "Nichols:2005chagres" "OAID-000114" "Nichols" 2005 "incollection" "10.1007/1-4020-3297-8_20" "Sa" 250 850 32617 "WGS84_UTM_17N" 61.3 414.5 63.76 189.98 76.61 -9999 -9999 -9999 NA 30000 1700 94 17 "KNSTD" 0.9042 "LLNL-CAMS" 27126 1537 0.889 0.998 1 1 0.887 0.02821 0.00163 0.00416 0.00574 0.00727 106.44 27.44 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 964.426795784016 0.821274053351424 0.733105588162961 73.3028442572361 92.3209456791997 90.5907562186986
"S121WTS005" "Gleinbach" "S121" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02253" "CRNST02020a" NA "AUT" "Eastern Alps" NA NA NA NA NA "Gleinalpe Mts." NA NA "not applicable" "not applicable" NA "not applicable" 14.871971 47.220839 "INTP_ND" -9999.99 NA "Dixon:2016alps" "OAID-000052" "Dixon" 2016 "Earth_Surf_Dynamics_4" "10.5194/esurf-4-895-2016" "Sa" 500 800 32633 "WGS84_UTM_33N" 81.52 1236.6 261.64 363.01 139.79 -9999 -9999 -9999 NA 93500 4500 86.8 5 "S2007" 0.9124 "ETH-Zurich" 93500 4500 2.935 0.984 1 1 2.89 0.02293 0.00112 0.00136 0.00427 0.00462 86.52 17.44 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 873.224856095585 2.91364358514053 1.75035806688816 75.4472293099048 88.6207444875177 87.2743237150868
"S121WTS004" "Gleinbach" "S121" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02252" "CRNST02020a" NA "AUT" "Eastern Alps" NA NA NA NA NA "Gleinalpe Mts." NA NA "not applicable" "not applicable" NA "not applicable" 14.871971 47.220839 "INTP_ND" -9999.99 NA "Dixon:2016alps" "OAID-000052" "Dixon" 2016 "Earth_Surf_Dynamics_4" "10.5194/esurf-4-895-2016" "Sa" 250 800 32633 "WGS84_UTM_33N" 81.52 1236.6 261.64 363.01 139.79 -9999 -9999 -9999 NA 94100 5600 86.3 6.1 "S2007" 0.9124 "ETH-Zurich" 94100 5600 2.935 0.984 1 1 2.89 0.02278 0.00137 0.00135 0.00425 0.00466 85.96 17.59 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 873.224856095585 2.91364358514053 1.75035806688816 74.9661630231254 88.0556812920606 86.6680230479894
"S069WTS010" "Fersina" "S069" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01320" "CRNST01115a" NA "ITA" "Central Eastern Alps" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 11.255438 46.068272 "INTP_ND" -9999.99 NA "Norton:2011alps" "OAID-000116" "Norton" 2011 "Int_J_Earth_Sci_100" "10.1007/s00531-010-0626-y" "Sa" 500 1000 32632 "WGS84_UTM_32N" 79.79 1457.26 415.51 411.53 146.28 -9999 -9999 -9999 NA 35148 5540 325.09 66.04 "S555" 0.9124 "ETH-Zurich" 32069 5055 3.523 0.978 1 1 3.446 0.07928 0.01285 0.00424 0.01456 0.01987 299.15 75 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 849.974470982439 3.4020272065225 1.91170690225198 256.844840541925 298.793904750992 297.516700457439
"S121WTS009" "Lassnitz1" "S121" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02257" "CRNST02024a" NA "AUT" "Eastern Alps" NA NA NA NA NA "Koralpe Mts." NA NA "not applicable" "not applicable" NA "not applicable" 15.184179 46.821729 "INTP_ND" -9999.99 NA "Dixon:2016alps" "OAID-000052" "Dixon" 2016 "Earth_Surf_Dynamics_4" "10.5194/esurf-4-895-2016" "Sa" 250 500 32633 "WGS84_UTM_33N" 72.43 1116.21 289.89 263.12 110.34 -9999 -9999 -9999 NA 154900 6200 39.2 2.1 "S2007" 0.9124 "ETH-Zurich" 154900 6200 2.707 0.994 1 1 2.691 0.01286 0.00052 0.00078 0.00242 0.0026 48.52 9.79 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 886.125522792167 2.63392631702433 1.6549707655037 41.1690348003657 48.6874325092011 47.3310808322766
"S121WTS027" "Untertal" "S121" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02275" "CRNST02041a" NA "AUT" "Eastern Alps" NA NA NA NA NA "Schladminger Tauern Mts." NA NA "not applicable" "not applicable" NA "not applicable" 13.698 47.356702 "INTP_ND" -9999.99 NA "Dixon:2016alps" "OAID-000052" "Dixon" 2016 "Earth_Surf_Dynamics_4" "10.5194/esurf-4-895-2016" "Sa" 250 500 32633 "WGS84_UTM_33N" 66.57 1837.68 384.9 600.12 257.18 -9999 -9999 -9999 NA 65300 5000 178.1 15.4 "S2007" 0.9124 "ETH-Zurich" 65300 5000 4.71 0.943 1 1 4.461 0.04958 0.00383 0.00213 0.00902 0.01003 187.08 37.86 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 811.068934787832 4.60812116499359 2.26503486165022 170.855588977427 195.264482675629 193.980858763803
"S139WTS026" "VO-26" "S139" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02545" "CRNST02292a" NA "FRA" "Massif Central" NA NA NA NA NA "Rhone Riv., lower" NA NA "not applicable" "not applicable" NA "not applicable" 4.755853 45.0111 "INTP_ND" -9999.99 NA "Olivetti:2016massif" "OAID-000120" "Olivetti" 2016 "Earth_Planet_Sc_Lett_444" "10.1016/j.epsl.2016.03.049" "Sa" 250 1000 32631 "WGS84_UTM_31N" 70.91 554.34 94.14 141.58 67.85 -9999 -9999 -9999 NA 135470 8940 45.4 4 "07KNSTD" 1 "ASTER" 135470 8940 1.585 0.999 1 1 1.583 0.009 0.00061 0.00081 0.00177 0.00204 33.97 7.7 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 948.391992841703 1.6208762679241 1.26365871902696 28.9684470557458 35.5325147926436 34.1128596369132
"S069WTS037" "di Venina" "S069" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01347" "CRNST01140a" NA "ITA" "Central Eastern Alps" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 9.91247 46.162458 "INTP_ND" -9999.99 NA "Norton:2011alps" "OAID-000116" "Norton" 2011 "Int_J_Earth_Sci_100" "10.1007/s00531-010-0626-y" "Sa" 250 500 32632 "WGS84_UTM_32N" 66.17 1866.77 461.83 620.5 228.2 -9999 -9999 -9999 NA 16042 3860 760 210 "S2007" 0.9124 "ETH-Zurich" 14637 3522 4.809 0.942 1 1 4.546 0.22582 0.05773 0.00973 0.04096 0.07145 852.15 269.62 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 808.154314377602 4.61938323326902 2.2738057805581 764.100356286383 873.41735004051 872.179056200799
"S106WTS001" "LRM-2" "S106" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM01975" "CRNST01752a" NA "BTN" "Bhutanese Himalaya" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 89.758 27.7212 "INTP_ND" -9999.99 NA "LeRouxMallouf:2015bhutan" "OAID-000090" "Le Roux?Mallouf" 2015 "Geophys_Res_Lett_42" "10.1002/(ISSN)1944-8007" "Sa" 250 1000 32645 "WGS84_UTM_45N" 77.21 3352.44 796.12 509.75 191.4 -9999 -9999 -9999 NA 98290 4630 250 30 "07KNSTD" 1 "ASTER" 98290 4630 8.319 0.962 1 1 8.03 0.05795 0.00274 0.00153 0.01036 0.01083 218.66 40.86 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 670.173618473044 7.90616479291158 3.29241546238472 194.748897894834 218.32064017559 217.175616034409
"S110WTS022" "Ma03" "S110" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02097" "CRNST01872a" NA "CHN" "Eastern Tibet" NA NA NA NA NA "Songpan Ganzi" NA NA "not applicable" "not applicable" NA "not applicable" 103.545979 32.339691 "INTP_ND" -9999.99 NA "Ansberque:2015longriba" "OAID-000006" "Ansberque" 2015 "Geomorphology_246" "10.1016/j.geomorph.2015.07.017" "Sa" 250 1000 32647 "WGS84_UTM_47N" 69.5 3469.22 341.03 471 149.9 -9999 -9999 -9999 NA 128070 8330 220 30 "07KNSTD" 1 "ASTER" 128070 8330 9.1 0.972 1 1 8.85 0.04886 0.0032 0.00119 0.00872 0.00937 184.37 35.35 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 660.194342257096 9.45953154534365 3.68358457075187 178.830133859357 199.070092571612 198.006775497983
"S253WTS013" "ST09-WM" "S253" "INT" NA "TBA" 2 "CRNSM04105" "CRNST03668a" NA "TWN" "Taiwan" NA NA NA NA NA "Anshuo" NA NA "not applicable" "not applicable" NA "not applicable" 120.87406 22.292483 "INTP_ND" -9999.99 NA "Chen:2020morakot" "OAID-000027" "Chen" 2020 "Earth_Surf_Proc_Land_45" "10.1002/esp.4753" "Sa" 250 710 32651 "WGS84_UTM_51N" 51.21 366.93 202.91 303.92 130.63 -9999 3 2006 NA 11060 1610 240 50 "07KNSTD" 1 "SUERC" 11060 1610 0.95 0.989 1 1 0.94 0.07327 0.01097 0.01055 0.01468 0.02114 276.5 79.78 -9999 -9999 -9999.99 -9999.99 NA 0 "SUERC" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 969.931194835629 0.941478587663031 0.853403690888893 206.098011479273 260.396254434324 258.525756607263
"S174WTS003" "Oj1b" "S174" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM03214" "CRNST02896a" NA "BRA" "Southern Espinhaco Range" NA NA NA NA NA "Diamantina Plateau: overloaded alluvial sediments" NA NA "not applicable" "not applicable" NA "not applicable" -43.731735 -18.004502 "INTP_ND" -9999.99 NA "Barreto:2014diamantina" "OAID-000009" "Barreto" 2014 "J_S_Am_Earth_Sci_56" "10.1016/j.jsames.2014.09.002" "Sa" 250 1000 32723 "WGS84_UTM_23S" 53.52 1184.22 114.37 153.33 93.92 -9999 -9999 -9999 NA 257000 -9999 19.12 0.68 "07KNSTD" 1 "ASTER" 257000 -9999 1.558 0.998 1 1 1.554 0.00455 -9.99999 0.00038 0.00091 -9.99999 17.16 -9999.99 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 878.81893108426 1.61490658675708 1.15450031209409 15.2136269886696 18.3747931027479 17.1478729486162
"S115WTS027" "BT1043" "S115" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02169" "CRNST01944a" NA "BTN" "Bhutanese Himalaya" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" 89.981839 27.410708 "INTP_ND" -9999.99 NA "Adams:2016bhutan" "OAID-000003" "Adams" 2016 "J_Geophys_Res-Earth_121" "10.1002/2015jf003508" "Sa" 250 1000 32646 "WGS84_UTM_46N" 61.41 3019.78 257.89 296.97 153.83 -9999 -9999 -9999 NA 563798 63643 53 7.5 "07KNSTD" 1 "PRIME-Lab" 563798 63643 6.206 0.988 1 1 6.132 0.00766 0.00089 0.00022 0.0014 0.00167 28.91 6.32 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 699.2721156582 6.4923271480956 2.90179117000898 27.8801654186605 31.5020033309227 30.5564420251064
"S121WTS021" "SaintNico" "S121" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02269" "CRNST02035a" NA "AUT" "Eastern Alps" NA NA NA NA NA "Schladminger Tauern Mts." NA NA "not applicable" "not applicable" NA "not applicable" 14.038352 47.335 "INTP_ND" -9999.99 NA "Dixon:2016alps" "OAID-000052" "Dixon" 2016 "Earth_Surf_Dynamics_4" "10.5194/esurf-4-895-2016" "Sa" 250 500 32633 "WGS84_UTM_33N" 58.59 1789.66 325.79 527.05 208.88 -9999 -9999 -9999 NA 48800 3300 237.5 17.8 "S2007" 0.9124 "ETH-Zurich" 48800 3300 4.524 0.958 1 1 4.342 0.06472 0.00441 0.00286 0.01178 0.0129 244.22 48.69 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 815.898831847658 4.44747790813267 2.21994819953149 220.654332342864 252.666081511487 251.420964439163
"S165WTS030" "27 Ortiano at Puntadora" "S165" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM03052" "CRNST02752a" NA "ITA" "Sila Massif" NA NA NA NA NA "Ortiano Riv., Puntadora" NA NA "not applicable" "not applicable" NA "not applicable" 16.686619 39.466957 "INTP_ND" -9999.99 NA "Cyr:2014distinguishing" "OAID-000038" "Cyr" 2014 "Geomorphology_209" "10.1016/j.geomorph.2013.12.010" "Sa" 250 500 32633 "WGS84_UTM_33N" 54.65 964.6 278.32 339.81 152.99 -9999 -9999 -9999 NA 12100 1200 630 80 "07KNSTD" 1 "PRIME-Lab" 12100 1200 2.124 0.987 1 1 2.099 0.1335 0.0134 0.01066 0.02512 0.0304 503.78 114.71 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 902.59075541197 2.10842970672046 1.46549039830075 421.883205935395 507.111538845149 505.60735334997
"S008WTS001" "NAM-08" "S008" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM00033" "CRNST00017a" NA "NAM" "Great Escarpment" NA NA NA NA NA "Gaub" NA NA "not applicable" "not applicable" NA "not applicable" 16.449449 -23.317907 "INTP_ND" -9999.99 NA "Bierman:2001namib" "OAID-000013" "Bierman" 2001 "Am_J_Sci_301" "10.2475/ajs.301.4-5.326" "Sa" 250 800 32733 "WGS84_UTM_33S" 65.62 1828.32 35.86 39 20.68 -9999 -9999 -9999 NA 1840000 50000 5.3 -9999.99 "KNSTD" 0.9042 "LLNL-CAMS" 1663728 45210 2.66 1 1 1 2.66 0.00106 3e-05 4e-05 0.00021 0.00022 3.99 0.82 9880000 530000 -9999.99 -9999.99 "ND" 0 "LLNL-CAMS" 9880000 530000 2.66 1 1 1 2.66 0.00125 8e-05 2e-05 0.00026 0.00027 4.72 1.02 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 812.008551100926 2.81106644708857 1.67544871042516 4.09079076707755 4.79944632634096 4.06795756595776
"S207WTS001" "Aeg" "S207" "INT" NA "TBA" 2 "CRNSM03753" "CRNST03376a" NA "CHE" "Rhone basin, Central Alps" NA NA NA NA NA "Aegene" NA NA "not applicable" "not applicable" NA "not applicable" 8.317869 46.504591 "INTP_ND" -9999.99 NA "Stutenbecker:2018rhone" "OAID-000160" "Stutenbecker" 2018 "Sediment_Geol_375" "10.1016/j.sedgeo.2017.12.013" "Sa" 250 400 32632 "WGS84_UTM_32N" 36.6 2391.24 380.68 432.44 226.21 -9999 -9999 -9999 NA 23600 2550 550 120 "S2007" 0.9124 "ETH-Zurich" 23600 2550 6.941 0.971 1 1 6.77 0.205 0.02243 0.00637 0.03675 0.04353 773.59 164.25 -9999 -9999 -9999.99 -9999.99 NA 0 "ETH-Zurich" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 757.043584760588 6.69699454780996 2.81512415761823 687.046962244143 770.987536742488 769.83285321915
"S255WTS002" "BBK" "S255" "INT" NA "TBA" 2 "CRNSM04123" "CRNST03686a" NA "CHN" "Eastern Tianshan" NA NA NA NA NA "Tekes Riv." NA NA "not applicable" "not applicable" NA "not applicable" 84.076244 43.070424 "INTP_ND" -9999.99 NA "Charreau:2017tianshan" "OAID-000026" "Charreau" 2017 "Earth_Planet_Sc_Lett_479" "10.1016/j.epsl.2017.09.025" "Sa" 200 800 32644 "WGS84_UTM_44N" 40.3 3154.18 239.02 375.91 170.56 -9999 -9999 -9999 NA 280000 15000 80 80 "07KNSTD" 1 "ASTER" 280000 15000 10.209 0.98 1 1 10.005 0.02512 0.00136 0.00054 0.00449 0.00472 94.81 17.8 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 687.395180827716 10.1749632378395 3.66550825871023 87.9818923638522 97.194075383856 96.2263614482577
"S110WTS031" "HS05" "S110" "INT" NA "10.4225/48/5a8367feac9b2" 1 "CRNSM02106" "CRNST01881a" NA "CHN" "Eastern Tibet" NA NA NA NA NA "Songpan Ganzi" NA NA "not applicable" "not applicable" NA "not applicable" 103.29 32.32 "INTP_ND" -9999.99 NA "Ansberque:2015longriba" "OAID-000006" "Ansberque" 2015 "Geomorphology_246" "10.1016/j.geomorph.2015.07.017" "Sa" 250 1000 32647 "WGS84_UTM_47N" 69.06 3578.51 276.98 492.2 168.4 -9999 -9999 -9999 NA 246210 11720 120 10 "07KNSTD" 1 "ASTER" 246210 11720 9.64 0.968 1 1 9.346 0.02674 0.00128 0.00061 0.00478 0.00499 100.91 18.81 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 650.964446844679 10.0442636475971 3.82591041151666 98.7713289130887 109.706246007786 108.70117352725
"S271WTS006" "SIM" "S271" "INT" NA "TBA" 2 "CRNSM04326" "CRNST03863a" NA "GTM" "Sierra de las Minas" NA NA NA NA NA "ND" NA NA "not applicable" "not applicable" NA "not applicable" -90.169226 15.110917 "INTP_ND" -9999.99 NA "Brocard:2021guatemala" "OAID-000891" "Brocard" 2020 "Earth_Surf_Dynamics_" "10.5194/esurf-2020-80" "Sa" 250 500 32615 "WGS84_UTM_15N" 53.61 1887.98 224.42 241.25 109.65 -9999 -9999 -9999 NA 214600 9000 54.4 5.8 "07KNSTD" 1 "PRIME-Lab" 214600 9000 2.457 0.994 1 1 2.442 0.00841 0.00036 0.00053 0.0016 0.00173 31.74 6.51 -9999 -9999 -9999.99 -9999.99 NA 0 "PRIME-Lab" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 806.034567581886 2.56289419471569 1.50646266027981 28.9147499574388 33.8546145038346 32.6892263877347
"S260WTS001" "RBE01" "S260" "INT" NA "TBA" 2 "CRNSM04166" "CRNST03724a" NA "CHN" "Qinling Mts." NA NA NA NA NA "Wei Riv. trib." NA NA "not applicable" "not applicable" NA "not applicable" 110.0991 34.5242 "INTP_ND" -9999.99 NA "He:2020weihe" "OAID-000185" "He" 2020 "Geomorphology_359" "10.1016/j.geomorph.2020.107151" "Sa" 250 500 32649 "WGS84_UTM_49N" 36.99 1525.31 382.36 581.78 267.08 -9999 -9999 -9999 NA 69273 5906 114.58 13.22 "07KNSTD" 1 "XAAMS" 69273 5906 2.935 0.944 1 1 2.79 0.03003 0.0026 0.00185 0.00559 0.00644 113.3 24.3 -9999 -9999 -9999.99 -9999.99 NA 0 "XAAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 842.90626085202 2.89854312463657 1.77547261888167 101.305786254321 119.341626075878 118.047090682362
"S275WTS006" "20c" "S275" "INT" NA "TBA" 2 "CRNSM04380" "CRNST03914a" NA "MKD" "Kavadarci" NA NA NA NA NA "Majdanska Riv." NA NA "not applicable" "not applicable" NA "not applicable" 21.963834 41.182534 "INTP_ND" -9999.99 NA "Vermeesch:2018macedonia" "OAID-000893" "Vermeesch" 2018 "P_R_Soc_A_474" "10.1098/rspa.2017.0470" "Gr" 0 0 32634 "WGS84_UTM_34N" 30.17 1147.92 280.3 285.26 118.07 -9999 -9999 -9999 NA 67000 12000 113 20 "07KNSTD" 1 "ASTER" 67000 12000 2.618 0.991 1 1 2.594 0.02902 0.00541 0.0019 0.00543 0.0079 109.52 29.81 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_int_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_int_basins/crn_int_basins.shp" 882.712692118898 2.49756428941725 1.61367852179346 90.252731517325 107.201127504036 105.716408075482
